,AIRPORT,IATA,ICAO,CITY/PROVINCE,REGION,CLASSIFICATION,COORDINATES,AUTHORITY
19,Francisco B. Reyes Airport (Busuanga) Airport,USU,RPVV,Palawan,IV-B,Class 2 principal airport,12 07 14.2071 N 120 05 46.0825 E,CAAP
20,Calapan Airport,CPP,RPUK,Oriental Mindoro,IV-B,Community airport,13 25 00.3982 N 121 12 06.4575 E,CAAP
21,Cuyo Airport,CYU,RPLO (RPCU),Palawan,IV-B,Class 2 principal airport,10 51 40.4961 N 121 04 05.0592 E,CAAP
22,Jomalig Airport,,RPIJ (RPXJ),Quezon,IV-A,Community airport,14 43 24.5485 N 122 24 05.1333 E,CAAP
23,Mamburao Airport,MBO,RPUM,Occidental Mindoro,IV-B,Community airport,13 12 14.9401 N 120 36 28.1038 E,CAAP
24,Marinduque Airport,MRQ,RPUW,Marinduque,IV-B,Class 2 principal airport,13 19 37.8862 N 121 50 55.1041 E,CAAP
25,Puerto Princesa International Airport,PPS,RPVP,Palawan,IV-B,International airport,09 44 31.6330 N 118 45 31.4280 E,CAAP
26,Tugdan (Romblon) Airport,TBH,RPVU,Romblon,IV-B,Class 2 principal airport,12 18 33.4652 N 122 04 34.3530 E,CAAP
27,San Jose (Mindoro) Airport,SJI,RPUH,Occidental Mindoro,IV-B,Class 1 principal airport,12 21 30.1326 N 121 02 47.0863 E,CAAP
28,Pinamalayan Airport,,RPLA,Oriental Mindoro,IV-B,Community airport,12 58 34.14 N 121 25 26.76 E,CAAP
29,Wasig (Mansalay) Airport,,RPLG,Oriental Mindoro,IV-B,Community airport,12 32 04.7821 N 121 28 58.0889 E,CAAP
30,Bulan Airport,,RPUU,Sorsogon,V,Community airport,12 41 05.0006 N 123 51 42.0823 E,CAAP
31,Bagasbas (Daet) Airport,DTE,RPUD,Camarines Norte,V,Community airport,14 07 54.6732 N 122 59 15.1174 E,CAAP
32,Legazpi Airport,LGP,RPLP,Albay,V,Class 1 principal airport,13 09 43.1479 N 123 44 04.4227 E,CAAP
33,Moises R. Espinosa (Masbate) Airport,MBT,RPVJ,Masbate,V,Class 2 principal airport,12 21 55.0829 N 123 37 05.0774 E,CAAP
34,Naga (Pili) Airport,WNP,RPUN,Camarines Sur,V,Class 1 principal airport,13 34 51.7974 N 123 15 43.1040 E,CAAP
35,Virac Airport,VRC,RPUV,Catanduanes,V,Class 2 principal airport,13 34 32.7792 N 124 12 54.0985 E,CAAP
36,Evelio Javier (Antique) Airport,EUQ,RPVS,Antique,VI,Class 2 principal airport,10 45 59.00 N 121 55 56.60 E,CAAP
37,Bacolod-Silay International Airport,BCD,RPVB,Negros Occidental,VI,Class 1 principal airport,10 46 35.7744 N 123 01 08.7677 E,CAAP
38,Godofredo P. Ramos (Caticlan) Airport,MPH,RPVE,Aklan,VI,Class 2 principal airport,11 55 28.2207 N 121 57 13.0761 E,CAAP / TADHC
39,Iloilo International Airport,ILO,RPVI,Iloilo City,VI,International airport,10 49 58.8624 N 122 29 36.0881 E,CAAP
40,Kalibo International Airport,KLO,RPVK,Aklan,VI,International airport,11 40 49.1992 N 122 22 34.9393 E,CAAP
41,Roxas Airport,RXS,RPVR,Capiz,VI,Class 1 principal airport,11 35 51.2087 N 122 45 10.6661 E,CAAP
42,Sibulan (Dumaguete) Airport,DGT,RPVD,Negros Oriental,VII,Class 1 principal airport,09 20 05.8447 N 123 18 03.0282 E,CAAP
43,Mactan-Cebu International Airport,CEB,RPVM,Lapu-Lapu City,VII,International airport,10 18 27.1652 N 123 58 45.9147 E,MCIAA
44,Siquijor Airport,,RPVZ (RPSQ),Siquijor,VII,Community airport,09 12 42.2078 N 123 28 16.0617 E,CAAP
45,Tagbilaran Airport,TAG,RPVT,Bohol,VII,Class 1 principal airport,09 39 51.0880 N 123 51 13.0665 E,CAAP
46,Ubay Airport,,RPSN (RPBY),Bohol,VII,Community airport,10 02 55.6457 N 124 28 05.0320 E,CAAP
47,Bantayan Airport,,RPSB,Cebu,VII,Community airport,11 09 44.9057 N 123 47 04.8995 E,CAAP
48,Biliran Airport,,RPVQ (RPNA),Biliran,VIII,Community airport,11 33 46.1259 N 124 24 50.2876 E,CAAP
49,Borongan (Punta Maria) Airport,BPR,RPVW,Eastern Samar,VIII,Community airport,11 40 25.2196 N 125 28 51.0516 E,CAAP
50,Calbayog Airport,CYP,RPVC,Samar,VIII,Class 2 principal airport,12 04 37.1364 N 124 32 52.0662 E,CAAP
51,Catarman Airport,CRM,RPVF,Northern Samar,VIII,Class 2 principal airport,12 30 08.0304 N 124 38 09.0737 E,CAAP
52,Catbalogan Airport,,RPVY (RPCA),Samar,VIII,Community airport,11 48 17.1985 N 124 49 51.0591 E,CAAP
53,Guiuan Airport,,RPVG,Eastern Samar,VIII,Community airport,11 02 11.7142 N 125 44 34.0766 E,CAAP
54,Hilongos Airport,,RPVH,Leyte,VIII,Community airport,10 22 34.7356 N 124 45 40.0003 E,CAAP
55,Panan-awan (Maasin) Airport,,RPSM,Southern Leyte,VIII,Community airport,10 11 13.5957 N 124 46 58.4615 E,CAAP
56,Ormoc Airport,OMC,RPVO,Ormoc City,VIII,Class 2 principal airport,11 03 23.4717 N 124 33 55.9729 E,CAAP
57,Daniel Z. Romualdez (Tacloban) Airport,TAC,RPVA,Tacloban City,VIII,Class 1 principal airport,11 13 39.456 N 125 01 39.922 E,CAAP
58,Cagayan de Sulu (Mapun) Airport,CDY,RPMU,Tawi-Tawi,ARMM,Community airport,07 00 45.8262 N 118 29 43.0363 E,CAAP
59,Dipolog Airport,DPL,RPMG (RPWG),Zamboanga del Norte,IX,Class 1 principal airport,08 36 04.0325 N 123 20 35.0179 E,CAAP
60,Ipil Airport,IPE,RPMV,Zamboanga del Sur,IX,Community airport,07 47 35.5807 N 122 36 25.0462 E,CAAP
