Route Id,Route Id,Dept Time,Arr Time,Frequency,Origin,Dest,Active
PR,,,,,Manila,Dumaguete,
PR,2545,8:40:00,10:00:00,0b1111111,219,245,TRUE
PR,2543,13:20:00,14:40:00,0b1111111,219,245,TRUE
PR,,,,,,,
PR,2546,10:40:00,12:00:00,0b1111111,245,219,TRUE
PR,2544,15:20:00,16:40:00,0b1111111,245,219,TRUE
PR,,,,,,,
PR,,,,,Manila,General Santos,
PR,453,6:55:00,8:45:00,0b1111111,219,276,TRUE
PR,,,,,,,
PR,454,10:00:00,12:00:00,0b1111111,276,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Iloilo,
PR,2139,4:30:00,5:40:00,0b1111111,219,242,TRUE
PR,2141,8:15:00,9:25:00,0b1111111,219,242,TRUE
PR,2143,12:15:00,13:25:00,0b1111111,219,242,TRUE
PR,2145,16:50:00,18:00:00,0b1111111,219,242,TRUE
PR,2147,18:45:00,19:55:00,0b1111111,219,242,TRUE
PR,,,,,,,
PR,2140,6:20:00,7:25:00,0b1111111,242,219,TRUE
PR,2142,10:05:00,11:10:00,0b1111111,242,219,TRUE
PR,2144,14:05:00,15:10:00,0b1111111,242,219,TRUE
PR,2146,18:40:00,19:55:00,0b1111111,242,219,TRUE
PR,2148,20:35:00,21:45:00,0b1111111,242,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Kalibo,
PR,2969,8:35:00,9:35:00,0b1111111,219,243,TRUE
PR,249,12:40:00,13:40:00,0b0000001,219,243,TRUE
PR,2975,16:40:00,17:40:00,0b1111111,219,243,TRUE
PR,2975,16:30:00,17:30:00,0b1111111,219,243,FALSE
PR,2971,18:15:00,19:15:00,0b1111111,219,243,TRUE
PR,1239,22:00:00,23:00:00,0b0101000,219,243,TRUE
PR,1239,22:00:00,23:00:00,0b0000000,219,243,FALSE
PR,,,,,,,
PR,2970,10:15:00,11:15:00,0b1111111,243,219,TRUE
PR,240,12:40:00,13:40:00,0b1111111,243,219,TRUE
PR,250,14:00:00,15:00:00,0b0000010,243,219,TRUE
PR,2976,18:20:00,19:20:00,0b1111111,243,219,TRUE
PR,2976,18:10:00,19:10:00,0b1111111,243,219,FALSE
PR,2972,19:55:00,20:55:00,0b1111111,243,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Laoag,
PR,2196,12:00:00,13:00:00,0b1111111,219,205,TRUE
PR,2198,19:00:00,20:00:00,0b1111111,219,205,TRUE
PR,2198,19:00:00,20:00:00,0b1010111,219,205,FALSE
PR,,,,,,,
PR,2197,13:40:00,14:40:00,0b1111111,205,219,TRUE
PR,2199,20:40:00,21:40:00,0b1111111,205,219,TRUE
PR,2199,20:40:00,21:40:00,0b1010111,205,219,FALSE
PR,,,,,,,
PR,,,,,Manila,Legazpi,
PR,2925,9:35:00,10:35:00,0b1111111,219,235,TRUE
PR,2927,13:10:00,14:10:00,0b1111111,219,235,TRUE
PR,,,,,,,
PR,2926,11:15:00,12:15:00,0b1111111,235,219,TRUE
PR,2928,14:50:00,15:50:00,0b1111111,235,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Masbate,
PR,2021,5:05:00,6:20:00,0b1111111,219,236,TRUE
PR,,,,,,,
PR,2022,6:40:00,7:55:00,0b1111111,236,219,TRUE
PR,,,,,,,
PR,,,,,Manila,Naga,
