,AIRPORT,IATA,ICAO,CITY/PROVINCE,REGION,CLASSIFICATION,COORDINATES,AUTHORITY,,,
48,Biliran Airport,,RPVQ (RPNA),Biliran,VIII,National,11 33 46.1259 N 124 24 50.2876 E,CAAP,,,
49,Borongan (Punta Maria) Airport,BPR,RPVW,Eastern Samar,VIII,National,11 40 25.2196 N 125 28 51.0516 E,CAAP,,,
50,Calbayog Airport,CYP,RPVC,Samar,VIII,Principal Class 2,12 04 37.1364 N 124 32 52.0662 E,CAAP,,,
51,Catarman Airport,CRM,RPVF,Northern Samar,VIII,Principal Class 2,12 30 08.0304 N 124 38 09.0737 E,CAAP,,,
52,Catbalogan Airport,,RPVY (RPCA),Samar,VIII,National,11 48 17.1985 N 124 49 51.0591 E,CAAP,,,
53,Guiuan Airport,,RPVG,Eastern Samar,VIII,National,11 02 11.7142 N 125 44 34.0766 E,CAAP,,,
54,Hilongos,,RPVH,Leyte,VIII,Community,10 22 34.7356 N 124 45 40.0003 E,CAAP,,,
55,Panan-awan (Maasin) Airport,,RPSM,Southern Leyte,VIII,National,10 11 13.5957 N 124 46 58.4615 E,CAAP,,,
56,Ormoc Airport,OMC,RPVO,Ormoc City,VIII,Principal Class 2,11 03 23.4717 N 124 33 55.9729 E,CAAP,,,
57,Daniel Z. Romualdez (Tacloban) Airport,TAC,RPVA,Tacloban City,VIII,Principal Class 1,11 13 39.456 N 125 01 39.922 E,CAAP,,,
58,Cagayan de Sulu (Mapun) Airport,CDY,RPMU,Tawi-Tawi,ARMM,National,07 00 45.8262 N 118 29 43.0363 E,CAAP,,,
59,Dipolog Airport,DPL,RPMG (RPWG),Zamboanga del Norte,IX,Principal Class 1,08 36 04.0325 N 123 20 35.0179 E,CAAP,,,
60,Ipil Airport,,RPMV,Zamboanga del Sur,IX,National,07 47 35.5807 N 122 36 25.0462 E,CAAP,,,
61,Jolo Airport,JOL,RPMJ (RPWJ),Sulu,ARMM,Principal Class 2,06 03 11.0470 N 121 00 35.0304 E,CAAP,,,
62,Liloy Airport,,RPMX,Zamboanga del Norte,IX,National,08 08 55.4888 N 122 40 05.0504 E,CAAP,,,
63,Pagadian Airport,PAG,RPMP (RPWP),Zamboanga del Sur,IX,Principal Class 1,07 49 43.5612 N 123 28 35.0435 E,CAAP,,,
64,Sanag-Sanga (Tawi-Tawi) Airport,SGS,RPMN (RPWN),Tawi-Tawi,ARMM,Principal Class 2,05 02 40.3198 N 119 44 37.0212 E,CAAP,,,
65,Siocon Airport,,RPNO,Zamboanga del Norte,IX,National,07 42 25.6080 N 122 09 53.0463 E,CAAP,,,
66,Zamboanga International Airport,ZAM,RPMZ,Zamboanga City,IX,International,06 55 20.7147 N 122 03 34.6847 E,CAAP,,,
67,Butuan Airport,BXU,RPME (RPWE),Butuan City,XIII,Principal Class 1,08 57 30.9114 N 125 29 30.0084 E,CAAP,,,
68,Laguindingan (Cagayan de Oro) Airport,CGY,RP02,Misamis Oriental,X,Principal Class 1,,CAAP,,,
69,Camiguin Airport,CGM,RPMH,Camiguin,X,National,09 15 15.8457 N 124 42 13.0186 E,CAAP,,,
70,Labo (Ozamiz) Airport,OZC,RPMO (RPWI),Misamis Occidental,X,Community,08 10 46.1163 N 123 50 31.3162 E,CAAP,,,
71,Sayak (Siargao) Airport,IAO,RPNS (RPSI),Surigao del Norte,XIII,National,09 51 33.6565 N 126 00 55.2159 E,CAAP,,,
72,Surigao Airport,SUG,RPMS (RPWW),Surigao del Norte,XIII,Principal Class 2,09 45 28.1412 N 125 28 51.8642 E,CAAP,,,
73,Allah Valley Airport,AAV,RPMA (RPWA),South Cotabato,XII,National,06 20 00.938 N 124 45 05.0206 E,CAAP,,,
74,General Santos International Airport (Tambler),GES,RPMR,General Santos City,XII,International,06 03 29.2483 N 125 05 46.3131 E,CAAP,,,
75,Bislig Airport,BPH,RPMF (RPWZ),Surigao del Sur,XIII,National,08 11 18.4330 N 126 19 37.0296 E,CAAP,,,
76,Francisco Bangoy International Airport,DVO,RPMD (RPWD),Davao City,XI,International,07 07 31.8832 N 125 38 44.8021 E,CAAP,,,
77,Mati Airport,MXI,RPMQ,Davao Oriental,XI,National,06 57 20.7585 N 126 12 57.0162 E,CAAP,,,
78,Tandag Airport,TDG,RPMW (RPWW),Surigao del Sur,XIII,Principal Class 2,09 03 55.2076 N 126 10 05.0425 E,CAAP,,,
79,Awang (Cotabato) Airport,CBO,RPMC (RPWC),Maguindanao,ARMM,Principal Class 1,07 09 53.0483 N 124 12 37.2345 E,CAAP,,,
80,Maria Cristina (Iligan) Airport,IGN,RPMI (RPWX),Lanao del Norte,X,National,08 08 55.4697 N 124 12 35.0439 E,CAAP,,,
81,Malabang Airport,MLP,RPMM (RPWM),Lanao del Sur,ARMM,National,07 37 01.6091 N 124 03 20.5483 E,CAAP,,,
82,Lumbia (Cagayan de Oro) National Airport,,RPML (RPWL),Cagayan de Oro City,X,,08 24 58.3641 N 124 36 40.8831 E,CAAP,,,
83,Sorsogon (Gabao/Bacon) Airport,,RPLZ (RPXU),Sorsogon,V,National,12 59 54.9217 N 124 01 05.0877 E,CAAP,,,
84,Lubang Airport,,RPLU (RPXG),Occidental Mindoro,IV-B,Community,13 51 30.7976 N 120 06 23.118 E,CAAP,,,
85,San Fernando (Poro Point) Airport,SFE,RPUS,La Union,I,Community,16 35 40.2182 N 120 18 11.2422 E,PPMC,,,
86,New Bicol (Daraga) Airport,,,Albay,V,Under Construction,,,,,
87,New Bohol (Panglao) Ariport,,,Bohol,VII,Under Construction,,,,,
88,Danilo Atienza Air Base (Sangley Point),SGL,RPLS,Cavite,IV-A,Military/Future Airport,14º 29' 43 N 120º 54' 14 E,PA,,,
